[331, 72, -28]
[330, 61, -25]
[330, 61, -25]
[329, 61, -25]
[327, 61, -39]
[325, 61, -39]
[323, 61, -39]
[319, 65, 4]
[313, 67, -60]
[327, 81, -15]
[324, 82, -34]
[306, 121, 58]
[305, 120, -101]
[309, 198, 75]
[305, 207, -154]
[313, 257, 46]
[321, 263, -152]
[318, 260, 41]
[327, 292, -166]
[320, 260, 24]
[329, 292, -162]
[317, 258, 36]
[325, 286, -150]
[307, 267, 41]
[301, 273, -41]
[303, 380, 27]
[304, 360, -46]
[304, 497, 63]
[280, 521, -44]
[298, 512, 64]
[264, 536, -45]
[321, 541, 35]
[309, 570, -90]
[321, 73, 10]
[318, 61, 12]
[317, 62, 12]
[315, 62, 12]
[318, 61, 0]
[318, 61, 0]
[317, 61, 0]
[306, 65, 27]
[310, 68, -32]
[314, 82, 18]
[315, 83, 1]
[290, 115, 64]
[302, 122, -83]
[296, 199, 72]
[304, 215, -114]
[298, 256, 44]
[319, 278, -105]
[299, 261, 42]
[322, 307, -116]
[303, 263, 29]
[326, 306, -112]
[303, 262, 37]
[323, 299, -103]
[290, 259, 47]
[304, 271, -47]
[300, 331, 57]
[307, 354, -37]
[280, 468, 93]
[277, 493, -23]
[273, 485, 95]
[261, 509, -21]
[298, 497, 70]
[307, 523, -54]
[324, 71, -25]
[322, 61, -19]
[321, 62, -19]
[321, 62, -20]
[320, 61, -31]
[318, 61, -31]
[317, 61, -31]
[312, 64, 10]
[310, 66, -43]
[321, 79, -13]
[318, 79, -28]
[291, 115, 53]
[304, 119, -86]
[295, 204, 54]
[306, 212, -114]
[293, 260, 29]
[318, 282, -115]
[296, 275, 24]
[322, 307, -129]
[305, 272, 13]
[325, 306, -125]
[304, 270, 22]
[322, 299, -114]
[291, 259, 45]
[303, 269, -45]
[301, 337, 51]
[307, 355, -41]
[288, 447, 78]
[282, 473, -34]
[282, 462, 78]
[266, 487, -34]
[309, 472, 60]
[313, 501, -66]
[326, 70, -44]
[323, 61, -39]
[322, 61, -39]
[322, 61, -39]
[320, 61, -52]
[319, 61, -52]
[317, 61, -52]
[312, 64, -7]
[308, 66, -56]
[322, 78, -31]
[320, 78, -47]
[293, 112, 40]
[300, 119, -103]
[297, 196, 44]
[303, 209, -121]
[306, 258, 11]
[317, 283, -131]
[305, 275, 5]
[321, 305, -145]
[311, 277, -6]
[325, 304, -144]
[310, 273, 4]
[322, 297, -130]
[291, 259, 45]
[302, 269, -45]
[303, 337, 61]
[307, 352, -31]
[291, 436, 101]
[292, 463, -4]
[284, 451, 103]
[278, 479, -2]
[315, 456, 83]
[328, 485, -37]
[323, 70, -44]
[320, 61, -39]
[319, 61, -39]
[319, 61, -39]
[318, 61, -53]
[316, 61, -53]
[314, 61, -53]
[309, 64, -8]
[306, 66, -63]
[319, 79, -31]
[317, 79, -49]
[292, 115, 41]
[299, 122, -111]
[297, 196, 50]
[301, 212, -135]
[307, 257, 11]
[316, 285, -143]
[306, 271, 6]
[320, 307, -160]
[312, 276, -7]
[324, 305, -158]
[311, 270, 3]
[322, 298, -142]
[293, 261, 47]
[303, 270, -47]
[304, 334, 63]
[306, 352, -34]
[291, 438, 106]
